Type,Name,Short Description,Pillar
Peer,Money Must Haves,Buy only what you need,Financial
Peer,Cash is King,Spend cash only,Financial
Peer,Free Fun,Find free activities,Financial
Peer,Make a Budget,Plan your spending,Financial
Peer,Shop the Perimeter,Avoid the grocery store aisles,Financial
Peer,Step It Up,Get the most steps,Physical
Peer,Get Moving,Get more active minutes,Physical
Peer,Biggest Snoozer,Get more sleep,Physical
Peer,Let's Do Lunch,Eat healthy lunches,Physical
Peer,Hydrate with 8,Drink more water,Physical
Peer,Plank Strength,Build more core,Physical
Peer,Sit and Be Fit,Do more sit-ups,Physical
Peer,Push-up Power,Do more push-ups,Physical
Peer,Posture Perfect,Improve your ergonomics,Physical
Peer,Strive for Five,Eat more fruits and vegetables,Physical
Peer,Digital Detox,Disconnect before bed,Physical
Peer,Daily Workout,Get exercise every day,Physical
Peer,Fit Families,Exercise with your family,Physical
Peer,Check Your Servings,Know your serving sizes,Physical
Peer,Active Days,Get daily physical activity,Physical
Peer,Daily Yoga,Do yoga each day,Physical
Peer,Clean Keys,Keep keyboards sanitary,Physical
Peer,Stair Climbers,Climb the most flights of stairs,Physical
Peer,Green Portions,Eat more veggies,Physical
Peer,Yardwork,Do some work in the yard,Physical
Peer,Workout Variety,Try new workouts,Physical
Peer,Workout Ready,Pack your exercise bag,Physical
Peer,Wall Sit,Hold a wall sit longer,Physical
Peer,Wait and Get Fit,Use down time for exercise,Physical
Peer,Veggie Snack,Eat vegetable snacks,Physical
Peer,Sweet Cravings,"Eat fruit, not candy",Physical
Peer,Spice Up Your Life,Eat less salt,Physical
Peer,Solve It,Complete more puzzles,Physical
Peer,Snack Less,Skip a snack,Physical
Peer,Sleep Tight,Track your sleep,Physical
Peer,Sleep Schedule,Set a sleep schedule,Physical
Peer,Sleep for Parents,Be a well-rested parent,Physical
Peer,Skip the Soda,Say no to sugary drinks,Physical
Peer,Sipping Small,Drink fewer calories,Physical
Peer,Shades On!,Wear sunglasses for eye health,Physical
Peer,Push-up Program,Get better at push-ups,Physical
Peer,Nighttime Mode,Keep electronics out of bed,Physical
Peer,Mocktails,Choose alcohol-free beverages,Physical
Peer,Mindful Sleep,Relax your mind for sleep,Physical
Peer,Limber Slumber,Stretch before bed,Physical
Peer,Jump Rope,Get more jump rope minutes,Physical
Peer,Jump and Jack,Do the most jumping jacks,Physical
Peer,Home Stretch,Work-from-home stretches,Physical
Peer,Hold the Fries,Skip fried foods,Physical
Peer,Happy Back,Improve back health,Physical
Peer,Grow a Garden,Plant a garden,Physical
Peer,Got It,Exercise your memory,Physical
Peer,Go Natural,Use natural light,Physical
Peer,Getting Stronger,Do more strength training,Physical
Peer,Electronic Lights Out,Turn off electronics before bed,Physical
Peer,Eat Your Heart Out,Eat heart-healthy foods,Physical
Peer,Eat Whole Grains,A whole grain a day,Physical
Peer,Drive Safe,Put your phone away,Physical
Peer,Cycle Champ,Get the most minutes cycling,Physical
Peer,Bed at 10,Go to bed by 10 p.m.,Physical
Peer,16:8 Fasting,Fast for 16 hours a day,Physical
Peer,Yoga Minutes,Get more yoga minutes,Physical
Peer,Lunch Break,Take a break for lunch,Physical
Peer,Show You Care,Give more compliments,Social
Peer,Daily Give,Give to receive,Social
Peer,Gift of Gratitude,Give more thanks,Social
Peer,Party of Two,Eat meals together,Social
Peer,Gift a Seat,Give up your seat,Social
Peer,Go Old School,Be text free,Social
Peer,Clean Up,Help Mother Earth,Social
Peer,Grow the Good,Spread positivity,Social
Peer,My Space,Learn about personal space,Social
Peer,Meeting Manners,Be courteous in meetings,Social
Peer,Zero Waste,"Reduce, reuse, recycle",Social
Peer,TED Talks,Watch the most TED Talks,Social
Peer,Talk the Talk,Learn a new language,Social
Peer,Stay in the Know,Keep up on current events,Social
Peer,Share Favorites,Introduce your favorites,Social
Peer,Praise Potential,Encourage others' abilities,Social
Peer,Offer Help,Pitch in big or small,Social
Peer,No Litter,Pick up litter,Social
Peer,Let Go,Don't be bothered,Social
Peer,Kind Driver,Drive with compassion,Social
Peer,Just Decisions,Be fair and ethical,Social
Peer,Good Greetings,Practice starting conversations,Social
Peer,Give Kudos,Applaud a job well done,Social
Peer,Fun Facts,Learn interesting things,Social
Peer,Fire Drill,Be proactive in problems,Social
Peer,Dad Jokes,Tell silly jokes,Social
Peer,Commit and Deliver,Keep your word,Social
Peer,Body Talk,Know your body language,Social
